customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Age,SatisfactionScore,CustomerSupportCalls,PaymentTimeliness,LifetimeValue,AverageDailyUsage,Email
sdv-id-pJvgxt,1,0,1,0,72,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),21.54,1752.92,0,49,High,8,On-time,2446.56124145915,4.13,user0@test.org
sdv-id-QZoJix,1,0,1,1,65,1,0,DSL,0,0,0,0,0,0,Two year,1,Mailed check,46.53,1245.56,0,29,Low,5,On-time,5175.360258770724,2.78,user1@test.org
sdv-id-sUpodm,1,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,22.21,53.22,0,47,Low,2,Late,2323.3936799123812,1.34,user2@test.org
sdv-id-VQZvMN,1,1,0,0,58,0,0,DSL,0,1,0,1,0,0,Month-to-month,1,Credit card (automatic),53.0,763.15,0,64,Low,5,On-time,3803.127716096028,4.51,user3@gmail.com
sdv-id-fHaBym,1,0,0,1,69,0,0,DSL,1,1,0,1,1,1,Two year,0,Credit card (automatic),53.61,3270.69,0,51,High,3,On-time,1681.9045628776757,4.13,user4@sample.com
sdv-id-vZLBtQ,1,0,1,1,68,1,1,No,0,0,0,0,0,0,Two year,0,Mailed check,25.4,1241.86,0,44,Low,8,On-time,1032.2858841194688,2.89,user5@example.com
sdv-id-bsSPKa,0,0,0,0,7,1,0,No,0,0,0,0,0,0,Month-to-month,0,Credit card (automatic),22.74,80.74,0,53,Low,6,On-time,2405.3052196606013,4.93,user6@gmail.com
sdv-id-REEpbp,1,0,0,0,3,1,0,DSL,0,1,1,0,1,0,Month-to-month,0,Mailed check,55.34,362.45,0,27,Low,4,On-time,503.6983930468931,1.11,user7@test.org
sdv-id-dSElnr,1,1,0,0,68,1,1,Fiber optic,1,1,1,1,1,1,One year,1,Credit card (automatic),112.28,5098.91,1,68,Low,1,On-time,1859.195961761065,1.0,user8@demo.net
sdv-id-jZVxJd,0,0,0,0,19,1,0,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),18.79,207.27,0,44,Low,1,Late,716.2500746003533,1.31,user9@gmail.com
